,negative,positive
aa,4.339356391946547,2.5950375316654903
aaa,4.339356391946547,2.5950375316654903
aaaaaaaaaaaaa,0.0,2.5
aaahhhh,0.0,2.5
aaarrrggghhh,2.5,0.0
aac,0.0,2.5
aacsrun,2.5,0.0
aagh,2.5,0.0
aajonus,0.0,2.5
aalfr,2.5,0.0
aaliyah,3.321928094887363,3.321928094887363
aam,0.0,2.5
aar,2.5,0.0
aargh,2.5,0.0
aaron,2.095903274289385,5.678873587267573
aarp,0.0,2.5
aaspect,2.5,0.0
aatrix,0.0,2.5
ab,1.6609640474436815,8.003922779651097
ababi,0.0,2.5
abacab,0.0,2.5
aback,1.6609640474436815,8.003922779651097
abacus,2.5,0.0
abagnal,2.095903274289385,5.678873587267573
abalon,0.0,2.5
abandon,5.678873587267573,2.095903274289385
abandonn,0.0,2.5
abawt,0.0,2.5
abba,2.51294159473206,4.507575551943847
abbaesqu,0.0,2.5
abbey,2.2761793375349226,5.094382474196232
abbi,4.507575551943847,2.51294159473206
abbrevi,12.62925313651334,1.285097208938469
abc,12.62925313651334,1.285097208938469
abcfm,2.5,0.0
abdic,2.5,0.0
abdomi,0.0,2.5
abdomin,5.678873587267573,2.095903274289385
abduct,2.095903274289385,5.678873587267573
abdul,3.321928094887363,3.321928094887363
abe,3.321928094887363,3.321928094887363
abecedarian,0.0,2.5
abel,7.5,0.0
abelien,0.0,2.5
aben,2.5,0.0
abercrombi,0.0,2.5
aberdeen,3.321928094887363,3.321928094887363
aberr,2.5,0.0
abet,0.0,2.5
abett,2.5,0.0
abhishek,2.5,0.0
abhor,0.0,15.0
abhorr,2.5,0.0
abid,4.1145820804822515,2.717562737549928
abigail,4.507575551943847,2.51294159473206
abil,2.5,0.0
abism,2.5,0.0
abit,5.678873587267573,2.095903274289385
abject,3.321928094887363,3.321928094887363
abl,3.0405923747600685,3.638269914643451
ableto,2.095903274289385,5.678873587267573
abli,1.6609640474436815,8.003922779651097
ablum,0.0,2.5
abnorm,4.1145820804822515,2.717562737549928
abnoth,2.5,0.0
abnoy,2.5,0.0
aboard,3.321928094887363,3.321928094887363
abolish,8.003922779651097,1.6609640474436815
abolut,0.0,5.0
abomin,15.0,0.0
abook,5.0,0.0
aboout,0.0,2.5
aborigin,4.1145820804822515,2.717562737549928
abort,5.678873587267573,2.095903274289385
aboslut,0.0,5.0
abosolut,2.5,0.0
abosrb,2.5,0.0
abosult,0.0,2.5
abot,2.5,0.0
abou,3.321928094887363,3.321928094887363
abought,2.5,0.0
abound,3.0815587699515854,3.5873976034096917
about,4.487111854115096,2.522533883789171
aboutan,0.0,2.5
abouteveri,2.5,0.0
abouth,2.5,0.0
aboutnoth,2.5,0.0
aboutyet,0.0,2.5
abov,3.706829770264403,2.987633210382234
abracadabra,2.5,0.0
abraham,26.463034750828918,0.9266284080291269
abram,0.0,5.0
abras,0.0,17.5
abraxa,5.0,0.0
abrazafarola,2.5,0.0
abrevi,0.0,2.5
abrham,0.0,2.5
abridg,9.477758020992301,1.5011014535921923
abriolawest,2.5,0.0
abroad,2.437986966796919,4.675522918696934
abroard,0.0,2.5
abroken,0.0,2.5
abrsm,2.5,0.0
abrubt,7.5,0.0
abrupt,4.227042814831259,2.6542750272617597
absa,0.0,2.5
absalom,0.0,2.5
abscond,2.5,0.0
absent,17.243773525740824,1.1073093649624544
absentmind,5.0,0.0
absinth,2.5,0.0
absolout,7.5,0.0
absoluet,3.321928094887363,3.321928094887363
absolut,3.486362771821826,3.1674837659426847
absolutelynoth,2.5,0.0
absolutl,5.0,0.0
absolutley,2.095903274289385,5.678873587267573
absorb,4.371728845831285,2.578646279067047
absoult,5.678873587267573,2.095903274289385
absoulti,0.0,2.5
absoulut,2.095903274289385,5.678873587267573
absoulutley,0.0,2.5
absout,0.0,7.5
absoutley,2.5,0.0
abstain,2.5,0.0
abstract,3.321928094887363,3.321928094887363
abstractfor,0.0,2.5
abstrus,0.0,2.5
absu,0.0,2.5
absuloot,2.5,0.0
absurd,11.08934760734396,1.3755182252363891
absym,2.5,0.0
abt,0.0,2.5
abtrubt,2.5,0.0
abu,0.0,2.5
abund,2.19330974196567,5.345117011325181
abundatrad,5.0,0.0
abus,4.434014983889687,2.5479192721107116
abut,2.5,0.0
abvious,5.678873587267573,2.095903274289385
abysm,47.5,0.0
abyss,2.095903274289385,5.678873587267573
abyssm,5.0,0.0
ac,3.1764356235119493,3.4762532987523937
acadami,0.0,2.5
academ,3.486877318797519,3.1670299264723965
academi,2.170464653912342,5.419336715827554
acadia,0.0,2.5
acadmey,0.0,2.5
acatit,0.0,2.5
acc,0.0,2.5
accdient,2.5,0.0
acceess,0.0,2.5
acceler,1.9124892893931982,6.4556962358128835
accent,2.095903274289385,5.678873587267573
accentu,3.321928094887363,3.321928094887363
accept,4.476335085507108,2.527627752231999
acceptebl,2.5,0.0
acces,2.5,0.0
access,1.8617841794768077,6.714157558698096
accessori,0.0,2.5
accid,3.321928094887363,3.321928094887363
accident,3.6835838038570077,3.005309701469034
accidentali,2.5,0.0
accidentili,2.5,0.0
