,negative,positive,total
aa,10.0,7.0,17.0
aaa,10.0,7.0,17.0
aaaaaaaaaaaaa,0.0,1.0,1.0
aaahhhh,0.0,1.0,1.0
aaarrrggghhh,1.0,0.0,1.0
aac,0.0,1.0,1.0
aacsrun,1.0,0.0,1.0
aagh,1.0,0.0,1.0
aajonus,0.0,1.0,1.0
aalfr,1.0,0.0,1.0
aaliyah,2.0,2.0,4.0
aam,0.0,1.0,1.0
aar,1.0,0.0,1.0
aargh,1.0,0.0,1.0
aaron,2.0,4.0,6.0
aarp,0.0,1.0,1.0
aaspect,1.0,0.0,1.0
aatrix,0.0,1.0,1.0
ab,4.0,12.0,16.0
ababi,0.0,1.0,1.0
abacab,0.0,1.0,1.0
aback,1.0,3.0,4.0
abacus,1.0,0.0,1.0
abagnal,1.0,2.0,3.0
abalon,0.0,1.0,1.0
abandon,36.0,18.0,54.0
abandonn,0.0,1.0,1.0
abawt,0.0,1.0,1.0
abba,2.0,3.0,5.0
abbaesqu,0.0,1.0,1.0
abbey,4.0,7.0,11.0
abbi,3.0,2.0,5.0
abbrevi,5.0,1.0,6.0
abc,5.0,1.0,6.0
abcfm,1.0,0.0,1.0
abdic,1.0,0.0,1.0
abdomi,0.0,1.0,1.0
abdomin,2.0,1.0,3.0
abduct,1.0,2.0,3.0
abdul,1.0,1.0,2.0
abe,1.0,1.0,2.0
abecedarian,0.0,1.0,1.0
abel,3.0,0.0,3.0
abelien,0.0,1.0,1.0
aben,1.0,0.0,1.0
abercrombi,0.0,1.0,1.0
aberdeen,1.0,1.0,2.0
aberr,1.0,0.0,1.0
abet,0.0,1.0,1.0
abett,1.0,0.0,1.0
abhishek,1.0,0.0,1.0
abhor,0.0,6.0,6.0
abhorr,1.0,0.0,1.0
abid,4.0,3.0,7.0
abigail,3.0,2.0,5.0
abil,1.0,0.0,1.0
abism,1.0,0.0,1.0
abit,2.0,1.0,3.0
abject,2.0,2.0,4.0
abl,619.0,701.0,1320.0
ableto,1.0,2.0,3.0
abli,1.0,3.0,4.0
ablum,0.0,1.0,1.0
abnorm,4.0,3.0,7.0
abnoth,1.0,0.0,1.0
abnoy,1.0,0.0,1.0
aboard,1.0,1.0,2.0
abolish,3.0,1.0,4.0
abolut,0.0,2.0,2.0
abomin,6.0,0.0,6.0
abook,2.0,0.0,2.0
aboout,0.0,1.0,1.0
aborigin,4.0,3.0,7.0
abort,4.0,2.0,6.0
aboslut,0.0,2.0,2.0
abosolut,1.0,0.0,1.0
abosrb,1.0,0.0,1.0
abosult,0.0,1.0,1.0
abot,1.0,0.0,1.0
abou,1.0,1.0,2.0
abought,1.0,0.0,1.0
abound,9.0,10.0,19.0
about,343.0,230.0,573.0
aboutan,0.0,1.0,1.0
abouteveri,1.0,0.0,1.0
abouth,1.0,0.0,1.0
