,negative,positive
aa,3.9173823267621817,2.8394367936337863
aaa,5.678873587267573,2.095903274289385
aaaaagh,0.0,2.5
aaaaah,2.5,0.0
aaaaaw,2.5,0.0
aaaand,0.0,2.5
aaaarrgh,2.5,0.0
aaagh,0.0,2.5
aaall,2.5,0.0
aaam,2.5,0.0
aaargh,5.678873587267573,2.095903274289385
aachen,0.0,2.5
aag,10.318851158516171,1.4306765580733931
aah,1.6609640474436815,8.003922779651097
aahhhh,2.5,0.0
aaja,2.5,0.0
aak,2.5,0.0
aakash,2.5,0.0
aaliyah,2.8394367936337863,3.9173823267621817
aamir,0.9602525677891276,24.15885792809679
aamr,0.0,2.5
aamto,0.0,2.5
aap,2.5,0.0
aardman,1.7247814630066518,7.540024413314111
aargh,7.5,0.0
aaron,2.05950137443437,5.816141328518998
aarp,0.0,2.5
aarrrgh,0.0,2.5
aashok,0.0,2.5
aasmaan,0.0,2.5
aatish,0.0,10.0
aaww,0.0,2.5
ab,1.8088351765837412,7.0093046768582425
aback,2.095903274289385,5.678873587267573
abagail,2.5,0.0
abanaz,2.5,0.0
abandon,3.462657361701245,3.188581074149854
abas,2.5,0.0
abash,5.0,0.0
abat,0.0,2.5
abb,2.5,0.0
abba,3.719611071037446,2.978033117136071
abbey,2.51294159473206,4.507575551943847
abbi,3.5609161165707097,3.103476471903321
abbot,0.0,27.5
abbott,2.095903274289385,5.678873587267573
abbrevi,4.0019613898255475,2.785345075685467
abbu,2.5,0.0
abbyss,0.0,2.5
abc,2.5423022765615277,4.445633372907137
abd,0.0,2.5
abdic,10.318851158516171,1.4306765580733931
abdomin,3.321928094887363,3.321928094887363
abdu,2.5,0.0
abduct,6.164663504311652,1.975193608802988
abdul,3.321928094887363,3.321928094887363
abdullah,5.0,0.0
abe,2.717562737549928,4.1145820804822515
abecassi,2.5,0.0
abed,0.0,2.5
abel,1.1832946624549385,14.937236057436325
abemethi,0.0,2.5
abercrombi,3.321928094887363,3.321928094887363
aberdeen,0.0,7.5
