,text,target
0,is veri well made last long are veri tight are not loos sloppi daisi more same am veri happi be buy few more now know are made perfect tell buy ,4
1,bought half keep sturdi stabl reliabl not big got ,4
2,doe suppos realli like is adjust get higher lower need great good ,4
3,recommend string set want use are durabl have nice ,4
4,have use am are perfect anyam is well pad not expens seem is alway tell are veri popular are has larg goe stop enter bottom is onli back thisgig deeper want least complet bottom make remov easier is best have found last few smaller doe not cost too much ,4
5,purchas new help minim back avoid protect keep wear use wax mani ago is much higher easier appli easi remov were realli tini did not first was actual abl fill use now look tini smooth were veri minor did not affect seal not suffici return mention appli have open tune appli use wax let dri then buf pure is gleam re realli beauti did great as well were remov also got tune is om acoust onli imagin harm is slight dampen use distil so left too much possibl work fine ,4
6,is great keep clean fret keep ,4
7,yeah bought are realli veri impress great ,4
8,got mic record vocal so far veri happi sound is wonder is amaz is great is nice includ not so far mic sound veri excel ,4
9,is terrif seem littl high actual serv need sever other accomplish is put ma most draw onli reliabl up combo is great come other adapt other do not use use work great best ad electr is mani also are angl instead straight make much more tight more more hook multipl readi play ,4
10,say have not alreadi read amaz think buy other green overdr save big look play know cheapli made be destroy have backup take great unplug alon caus as far goe veri high god go clean outright has muscl other more expens overdr yes has earn perman most clean is alway never turn onc start play leav plug reach down use turn love just do not ever drop ,4
11,pretti seem work fine purchas love fender onli go soon veri happi ,4
12,deserv posit has receiv is veri well made is readili appar total sound pictur differ receiv is not lighter gray look more is metal is black heavi not sure is show is actual receiv is much more impress look was initi look spend simpl record use ultim spent move behring convey appropri condens mic are start record recommend xlr not be disappoint ,4
13,work great not much say ,4
14,first do not expect new work as replac basic do not exist have exact are not do ll like bore addit drill taper guitar nearbi have tech do arriv quick are veri attract nice look great unfortun squier had slight smaller meant low was too larg therefor not be instal is not function are easiest tune rotat ve just fine check go are great ,4
15,use exclus seem corrod ordinari quick have washburn seal look doe not have still prefer as well tend be littl stiffer erni ball sound feel great keep daili play get other ,4
16,took find need is need free exact need great ,4
17,be partial instal come be easili instal more perman cut length run have be enlarg onc plug sound great maintain great acoust instal saddl few sound just as good not better do not mind visibl is go nice is chang compar undersaddl are attach insid ,4
18,has save mani also has recommend ,4
19,excel compact so small easili fit gear bag not as stabl not be beat amazon offer such good ,4
20,doe not color depend re use push get extra turn puppi ,4
21,is great sing electr sing worship southern is veri smooth get close enhanc nice do not think is same is exact need built last is shure ,4
22,are look is best last long great feel veri nice is probabl most favor recommend general not go much higher green get too heavi doe not feel comfort anymor doe not sound as well is total up want is best great ,4
23,hold nice snap firm never come short again just nice have cheap too ,4
24,good good solid cant so no just youtub ,4
25,not onli is stand is adjust is realli afford has keep ur fall forward is great ,4
26,have use past are excel newer bought just quick use mount has perman attach quick instal drum microphon now mount mere veri well do not quit know is silver is black everywher els least is good are clean precis ,4
27,accoust were old probabl corrod was replac frest are great did ,4
28,bought replac squier came had just clean overdr not afford want so get cool electr saw littl decid give tri is awesom such small amp is plenti practic run too so take anywher are better hope is certain not perform intermedi just own pleas is get has sever model choos still ad delay grow decid pick learn more now have do not need stack ,4
29,yeah came were terribl amaz bought was cheap so play not have worri becom damag sound great play realli well is not has nice natur ,4
30,use midi fold easi so tuck not work smaller lower spread wide good adjust ,4
31,have found be comfort seem be solid enough everyday is sturdi heavi enough averag is definit right is just about right good comfort have use do not know hold tour constant is perfect am play ,4
32,up few ago had been use same old been buy then tri dunlop is wonder doe tell excel paint natur clean not onli nasti build clean polish just was design do streak so ll better ve use least think so sure do ,4
33,say not make good acoust sound just fine amazon ,4
34,is light back excel good just need lightweight protect is ,4
35,fab offer great dig fab pedal work great give wobbl onli expect more expens have hard less expens more cost work quit well danelectro more expens do not think is much better just is better not go wrong has been make great have danelectro work great ,4
36,is good look great sound small be use low medium higher has take reduc also use avoid muddi too much distort not play loud rather low mid smaller is great cover mani especi have total differ also nice have separ is good mayb drum need connect lack is drawback is balanc good littl amp overal great veri flexibl low do not plan crank too much ,4
37,are littl sketchi feel break step wrong is just great littl has been arriv buy second hit not just great sound honest good great sound od pedal true is short have decent other not detect suck sound good enough do not mind true ,4
38,pick purpl test pass be found ,4
39,well construct easi use good look is origin design most acoust metal describ huge specif make own special is probabl most univers fit les paul tradit les paul tradit electr cherri sunburst grey black tremolo lp special ii paul electr sunburstelectr primari is laguna acoust follow simpl includ adjust key not get too much ve had figur park most goe is adjust fit doe not clamp not huge ,4
40,seen joey slipknot play fold so go say right play sit just pretti hard make crappi come drum so go say re either go get great not even use look forward get great here is veri sturdi rock sway move veri comfort grab sit come hang great ,4
41,is great strap nice tight veri flexibl best get long long long yep here is ,4
42,is just right last forev have never had ,4
43,ok own not veri loud good high then plug good awesom great high sound awesom use great sound awesom ,4
44,put sound sound great cheap ,4
45,other usual let face play gospel etc are made make sound have been hit real cheap onli fender smoke ,4
46,sometim find just right feel chang take new happen just right acoust right vocal bose had be somewhat dissatisfi encount discov perfect not kid was acoust obvious have play right optimum vocal mean occasion reli get just right just right unfortun had weak send list weaker due physic reduc tonal result use has had end found capo first notic use was improv other use weak total disappear quick dust sever were found improv tonal allow move have have point is heavier not detect handl sit rest perhap stand use guitar notic slight love ratchet watch have pinch open fair firm was not think has just right top provid more hold play veri effect dampen possibl be more gentl more narrow rubber top thus have less tune did find slight negat was abl quick overcom top open is slight more squar is round be just play was contact squar top was get irrit so simpli turn open face face contact were far smoother thus was new have had do other have comment was compar mani ve spent find just right pa other almost not believ onli cost make such is priceless overal high recommend re be veri inexpens take next strong have critic so immedi purchas back mayb ll black ,4
47,doe yamaha seem veri good get am use ,4
48,love is veri cheap make veri effici distribut even end use just right defin recommend ,4
49,are expens seem last start wear develop assum is wear doe not seem affect ,4
50,is camp say use yes got right say compet well mod love is most use set high is not too icepicki yet entir is use is great use main overdr prefer boost hot overdr work well also be use add bought semi retir older soundtank is not as good has much smoother turn main solid sever includ sound great amp onli is slight routin run esp distort not be ,4
51,have fender got mod still need nice touch fill use loop gain is much richer differ is beauti ,4
52,are great have onli is not get done show use push onc instal are good ,4
53,re go get veri expens is just as good other work great size ,4
54,came was not broken bad held few sold ,4
55,bought hook panason kodak work suppos degre is nice touch good ,4
56,need know is veri direct keep sweet best pull get muddi too close make strong found palm mic work best as long keep are predict good also is aim too low lower ll sound have stuffi nose aim too high nose sneer nasal right upper work well are conveni plastic switch scratch ve play set flat was best initi thought was good made too honki upper flat flat most natur be dynam not sound open airi take eq well eq remov use do get more work realiz doe not alway sound right seem unbal littl too much work use few learn start bad is too bright then ad caus mic appear dull muffl realli vocal make clear natur build turn have natur not too bright dull yes reject sound more not gobsmack amaz reject pretti sensit so re sing pick so do not think make sound re dead actual are acoust re set be record about twice as dri take pretti well add have drop too far away undefin so doe sound is veri natur true truli is vocal mic first plus dri close characterist are mic work fantast clean atop acoust clean doe have slight agre indic has slight hz slight still natur sound is tailor reduc boxi accentu main vocal is consid flatter still has definit not thin sound mic is heavi rug is surround truncat enclos is see microwav oven is throw insid bubbl wrap not have worri crush damag doe not need big especi tube do so actual compact quick set detach mic even has conveni free rotat screw stand so hold screw mic need db loud quiet whisper make sure is design least clean cheaper usb onli go up db lack get ll add nice clean phantom power too overal prefer good allow move littl more color has more open compar is not perfect do biggest are natur even delay stand especi good spoken was design doe veri good not pick as mani mouth had get rid keep onli be main conveni use anywher anytim get reliabl good edit forgot say listen mic net often time be posit same is is actual back few be closer such caus sound more duck ish detail thin due sole distanc is thus not characterist intrins mic proper was use be surpris much smb good realli doe be miss convers be less sibil said easili eq mic take eq veri well serious db want add is gentl vocal has sound slight honki strident blare depend again eq down final say has flat not true has chart yet give larger natur sound natur even not complet transpar honest ,4
57,built custom instal doe crank ve tri differ sound great most clean make ,4
58,now have do is instal know have drill even have drill also look forward get crappi loos un smooth origin just instal fender lock did not have drill were perfect place line straight just press veri firm lock screw so not damag veri light care tap small mark then small magnifi use made punch just use is soft made set drill was done less ,4
59,cherish is favorit go think better ,4
60,am veri pleas play veri clear buzz dramat hear feel use cheap is well worth ,4
61,alway buy gross is damn good never had such color need do pay fast alway ,4
62,far exceed mean good pick be anyway are classiest nicest look look great great play great call snob want match use gm own fender want spend just few good yourself buy love too do not slip move around play ,4
63,is more subject almost other sure has as much do other even so has provid consist more ll readili know use other seem alway return addario string acoust ,4
64,be not was made heavier nicer have be tell ,4
65,origin bought work veri well so tri work just as great so much better elast do doubl go strong ,4
66,is just excel have been use now as long keep make keep use onli need veri littl polish entir do not need use polish onc put initi simpli buff dri next come right back is enough last veri long high recommend like also refer lemon clean lemon veri quick remov residu shine extrem well dri is beauti veri smooth slide ,4
67,not believ fit les glove veri plush interior veri durabl ,4
68,am pleas feel do great young ,4
69,is perfect is brand wave rather plain xlr add goe direct focusrit use same have yet purchas ,4
70,solid good veri good ,4
71,serious set other are judg kid work great real acoust conga name hear good as well give speech is there better have abov averag use is better suit lack vocal most reinforc best ,4
72,bought black go black built do not use build recent bought work fine were too larg exist not fit ,4
73,doe think have not had yet are constant play not be first just need hold then is not beat ,4
74,excel fit veri good rack good well pack buy again ,4
75,is tough easi set lock tight are robust is never did not want big hang other mic fit perfect is be use long hang mic perfect yeah total do is simpl were cut ,4
76,same slick sound mani like acheiv not round round give wound also have more surfac are louder have pickup want mellow finger nois import not have have paul harder edg archtop mellow have are realli great stylist use so thought tri nice not realli recogn nickel seem bit better is not realli factor depend much not readi take is differ not tri re less more surfac is not are amplifi check high is also finger heavi tortex pick is also reduc alot ,4
77,bought use amp restor doe not evapor right away good go ,4
78,are good stay settl veri satisfi ,4
79,is great is light weight had put not put much more is exact need grab top move easili have not tri gig are gentl work fine ,4
80,best pick great sturdi fanci expens guitar intend ,4
81,recommend itthes are perfectund excel is veri goodthank ,4
82,work as expect is blend drop major find again next go ,4
83,work first was littl wari use liquidth origin ardsleyon came be own was damag rather inexpens howev need tune so close blunder ahead just was care use first small torn eaten underwear went ahead will tri even remov onli start first put proper restrung tune then becam think use great not fiddl tune had drink ,4
84,doe say have multipl plug handl much cheaper then buy ,4
85,make wide includ are veri high initi purchas pair angl straight came purchas few am so glad did compar more expens previous purchas asid not detect swap back ensur was use still more expens has go is look am not sure higher price is even more sturdi mold end seem make more reliabl sibl bottom care compar use own possibl make find did higher doe not necessarili equal higher even same ,4
86,do not have realli love keep tone add fair substanti add nice is tube overdr actual think sound better solid is real drastic is exact was look nice robust keep do not see beat also have digitech is awesom ,4
87,use turn let tell take forev take put also is get mess cut now have chang faster have look small fit also are new guitar dont use tune put be care not break alway be best have do precis tune is just get then use ,4
88,ve own nice recent want be abl doubl mic vocal doubl did not have similar search net extens kept see rate veri high decid take figur just return not good not hear discern simultan record left right sound great think even look better feel just as solid definit great are produc high say not afford good keep ,4
89,bought get prime was not disappoint is veri sturdi comfort is thick soft arriv flat be adjust correct is just was look sure serv mani ,4
90,is best is first have tri bought desktop mic use work veri nice doe perfect podcast as well recommend ,4
91,have found hosa be excel more expens be more rug veri happi have purchas ,4
92,are celtic are visabl is allow consid use power easili be hidden most wireless need is avail offer mic were batteri power thought was worth had keep natur are less stellar just not hear use give small unobvi has ad speaker give be understood has been now stay entir have gone up is high quit simpli work beauti recommend just rememb not be disappoint ,4
93,never realli had tune american strat interest most was easi lock have realli help have notic doe stay better are easi instal simpl use need is mm are set have point are stagger are long short need make sure get right onli took instal fit read complain addit do not even notic work just genuin be expect ,4
94,has power work just squeez slide need avail sever match ,4
95,have set origin ish so decid tri telecoust have not stay fix stay perfect now ,4
96,be abl adjust doe not go sharp other realli clamp just wish was easi keep handi ,4
97,are not first set not count bought own has ever fail so far high recommend love sound are built well ,4
98,ive been tri differ ive been stuck now want are veri bright clean veri playabl ,4
99,bought use set appear be well construct help diagnos work ,4
100,ultim clean been use been happi ,4
101,order so plug work well qualiti german alway nice definit recommend work starter ,4
102,love nice mic record acoust more ,4
103,are slight larger origin were is exact want acoust has been restrung so mani were get loos enough origin were veri low difficult grab pull new fit perfect make string again is also notic produc ,4
104,mic doe say is adjust conceiv has realli nice adjust make easi loosen tighten onli found is tripod make easi forget park big live especi re emot invest is urg much prefer other make great mic is just kickin nuff said ,4
105,much better got been good not realli complain consid basic tree ,4
106,ve been use go now claim have affect negat well ve never notic alway feel perfect also adjust re use veri easili ie want more trebl just littl move tri other wah doe not do is veri good just have alway gone knew ,4
107,is good other not seem alway need doe add other shape ve settl set add subtl notic ,4
108,want add have most behring am more satisfi other decid tri again am more satisfi is not use so expect give good look extra sound tri pedal ll be pleasant surpris sure not beat great ,4
109,bought stock gave actual love still has ,4
110,stratsquier standard bassbeen play had squier was cheap did not care keep next play got old wore so need new cheap pick special black kick free bought soon found use more other sound so good so well had killer had pickup replac made good lost passiv have imagin inexpens had great sustain consid is almost same squier is easili twice liter not find better special passiv have great glossi deep put just right gutsi clean distort were wax did not have are high feel alnico more ceram not sure have so much was shock build did have high did not notic was up discov loosen whack fret pop right stay requir adjust was exact was straight fret excess was perfect nick just oili black was flush profession shim damn good is typic doe stay veri well back bend mean make tune much more stabl is similar lp tunamat individu be inton is done rais higher lower not individu weird have soon got use doe not need not find hit make easi clean too truss is nice were smooth round play use littl silki not rough fast took get use catch top soon got use was not trplug keep overal came awsom nice was pack foam same other is best sound good enough gig well built well treat give great are medium jumbo littl deeper fender last longer need fret typic say is suitabl did metal pop are mean are higher fender not much nice make is is not close make veri easi palm high lay light right hit make nice is took pole bottom see get singl sound happen was got everywher was littl littl lower still not fool think was singl end put back like put back tap here come move lp special make nice littl do favor buy even alreadi have better cheap enough not care bang around littl good enough enjoy play mani ,4
111,are favorit play have such nice acoust ,4
112,is great assum still use turntabl clean get readi play free annoy not save ll have buy clean easili take other get attract regular suggest do first go was spread get most free second is go direct clean sound new again are definit more comprehens are easi ,4
113,bought use older acoust was fade use look great again use twice brought like new work fast well make play easier saw local same ship bought do not use much last long ,4
114,have purchas use mani various string admit wave pro is veri best have use is is carri extra cut pull is sturdi last mani cut mani need afford be buy stock wave pro is well recommend also also purchas accoust request regular free promis be ship were order receiv saturday short treat amazon ,4
115,has slap echo good put sound bad most danelecto probabl higher lower use same want is just reverb back then has also call ,4
116,is not much say work advertis do not have are live high recommend poni few up intend ,4
117,had actual follow drill specifi then work got much less hassl tune ,4
118,is excel use do not rememb have lock doe tighten actual stay tighten not go wrong standard not chromat ,4
119,own have chang often enough do not realli enjoy chang need done make such do not know ever went take use take chang have loosen cut befor stand there crank seem like forev am realli happi check more ,4
