,negative,neutral,positive,total
aaliyah,1.0,0.0,0.0,1.0
aan,1.0,0.0,0.0,1.0
abandon,5.0,0.0,0.0,5.0
abba,0.0,1.0,0.0,1.0
abbrevi,1.0,0.0,1.0,2.0
abdul,1.0,0.0,0.0,1.0
abhorr,2.0,0.0,0.0,2.0
abid,1.0,0.0,0.0,1.0
abject,1.0,0.0,0.0,1.0
abl,25.0,4.0,1.0,30.0
abli,4.0,1.0,0.0,5.0
aborb,0.0,1.0,0.0,1.0
aborigin,1.0,0.0,0.0,1.0
abort,1.0,0.0,0.0,1.0
aboul,0.0,1.0,0.0,1.0
abound,1.0,0.0,0.0,1.0
about,22.0,7.0,3.0,32.0
abov,3.0,1.0,1.0,5.0
abraham,1.0,0.0,0.0,1.0
abras,1.0,0.0,0.0,1.0
abridg,1.0,0.0,0.0,1.0
abroad,2.0,0.0,0.0,2.0
abrupt,2.0,2.0,0.0,4.0
absent,1.0,0.0,0.0,1.0
absolut,19.0,5.0,3.0,27.0
absorb,16.0,7.0,2.0,25.0
abstract,8.0,1.0,1.0,10.0
absurd,9.0,2.0,1.0,12.0
absurdist,2.0,2.0,2.0,6.0
abund,4.0,0.0,1.0,5.0
abus,1.0,0.0,0.0,1.0
abysm,2.0,0.0,0.0,2.0
academ,2.0,0.0,0.0,2.0
academi,3.0,0.0,0.0,3.0
acceler,0.0,1.0,0.0,1.0
accent,0.0,0.0,1.0,1.0
accentu,1.0,0.0,0.0,1.0
accept,16.0,0.0,0.0,16.0
access,8.0,5.0,4.0,17.0
accident,2.0,0.0,0.0,2.0
acclaim,1.0,0.0,1.0,2.0
accommod,1.0,0.0,0.0,1.0
accomod,1.0,0.0,0.0,1.0
accompani,5.0,1.0,0.0,6.0
accomplish,13.0,9.0,0.0,22.0
accord,3.0,0.0,1.0,4.0
account,0.0,1.0,0.0,1.0
accumul,2.0,0.0,2.0,4.0
accur,8.0,1.0,1.0,10.0
accus,3.0,0.0,0.0,3.0
acerb,2.0,0.0,0.0,2.0
ach,9.0,1.0,0.0,10.0
achiev,18.0,4.0,3.0,25.0
achiv,1.0,0.0,0.0,1.0
achronolog,2.0,0.0,0.0,2.0
acid,1.0,1.0,1.0,3.0
acknowledg,2.0,1.0,0.0,3.0
acquaint,2.0,0.0,0.0,2.0
acquir,4.0,0.0,0.0,4.0
acrid,1.0,0.0,0.0,1.0
across,0.0,0.0,1.0,1.0
act,95.0,25.0,16.0,136.0
activ,1.0,0.0,0.0,1.0
actor,1.0,0.0,1.0,2.0
actori,1.0,0.0,0.0,1.0
actorish,1.0,0.0,0.0,1.0
actress,0.0,1.0,0.0,1.0
actual,61.0,10.0,9.0,80.0
acut,2.0,0.0,1.0,3.0
ad,7.0,2.0,0.0,9.0
adam,11.0,2.0,0.0,13.0
adapt,5.0,1.0,1.0,7.0
add,27.0,9.0,6.0,42.0
addessi,0.0,1.0,0.0,1.0
addict,3.0,0.0,0.0,3.0
addit,0.0,1.0,0.0,1.0
address,5.0,1.0,0.0,6.0
adept,1.0,0.0,1.0,2.0
adequ,9.0,1.0,0.0,10.0
adher,2.0,0.0,0.0,2.0
adject,1.0,0.0,0.0,1.0
adjust,1.0,0.0,0.0,1.0
admir,23.0,8.0,4.0,35.0
admit,15.0,1.0,0.0,16.0
adobo,0.0,1.0,0.0,1.0
adolesc,8.0,2.0,0.0,10.0
adopt,3.0,0.0,0.0,3.0
ador,6.0,1.0,1.0,8.0
adorn,1.0,1.0,0.0,2.0
adren,1.0,0.0,0.0,1.0
adrenalin,1.0,0.0,0.0,1.0
adrian,2.0,1.0,0.0,3.0
adrien,1.0,0.0,0.0,1.0
adroit,1.0,2.0,2.0,5.0
adult,1.0,1.0,1.0,3.0
advanc,3.0,1.0,1.0,5.0
adventur,9.0,1.0,1.0,11.0
advertis,4.0,0.0,0.0,4.0
advis,4.0,1.0,0.0,5.0
aerial,1.0,0.0,0.0,1.0
aesthet,4.0,1.0,0.0,5.0
affabl,3.0,0.0,1.0,4.0
affect,16.0,3.0,4.0,23.0
affection,4.0,0.0,0.0,4.0
affirm,13.0,1.0,0.0,14.0
affleck,2.0,0.0,0.0,2.0
afflict,1.0,1.0,0.0,2.0
affluenc,1.0,0.0,0.0,1.0
affluent,1.0,0.0,0.0,1.0
afford,3.0,1.0,0.0,4.0
affront,0.0,1.0,0.0,1.0
afghan,2.0,0.0,0.0,2.0
afloat,3.0,1.0,0.0,4.0
afraid,8.0,1.0,0.0,9.0
afresh,0.0,1.0,0.0,1.0
africa,1.0,0.0,0.0,1.0
african,7.0,1.0,1.0,9.0
afterschool,1.0,0.0,0.0,1.0
afterthought,1.0,0.0,0.0,1.0
again,64.0,14.0,7.0,85.0
agap,1.0,0.0,0.0,1.0
age,14.0,3.0,3.0,20.0
agey,1.0,0.0,0.0,1.0
aggrand,2.0,0.0,0.0,2.0
aggrav,1.0,1.0,0.0,2.0
aggress,6.0,4.0,1.0,11.0
aggriev,1.0,0.0,0.0,1.0
agil,1.0,0.0,0.0,1.0
agnost,1.0,0.0,0.0,1.0
ago,14.0,3.0,2.0,19.0
agon,1.0,1.0,0.0,2.0
agre,1.0,0.0,0.0,1.0
agreeabl,1.0,2.0,0.0,3.0
aground,1.0,0.0,0.0,1.0
ah,4.0,0.0,1.0,5.0
ahead,10.0,1.0,1.0,12.0
ahhhh,0.0,0.0,1.0,1.0
ahola,0.0,1.0,0.0,1.0
ai,6.0,1.0,1.0,8.0
aid,1.0,0.0,0.0,1.0
aidan,0.0,0.0,1.0,1.0
aim,16.0,1.0,1.0,18.0
aimless,5.0,0.0,0.0,5.0
air,2.0,1.0,0.0,3.0
airborn,0.0,1.0,0.0,1.0
